1	Mr.x1	1	sell	10	s1	1200	0
2	Mr.x2	1	sell	10	s2	1600	0
3	Mr.x3	1 	sell	10	s3	1500	0
4	Mr.x4	20	sell	10	s4	1600	0
5	Mr.x5	20	sell	10	s5	1800	0
6	Mr.x6	20	sell	10	s6	1800	0
6	Mr.x7	20	sell	10	s7	1800	0
7	Mr.x8	20	sell	10	s8	1800	0
7	Mr.x9	20	sell	10	s9	1800	0
8	Mr.x10	20	sell	10	s1	1800	0 
11	Mr.x11	4	buy	10	s1	1100	0
11	Mr.x12	5	buy	10	s1	1800	0
12	Mr.x13	6	buy	10	s2	1800	0
12	Mr.x14	6	buy	10	s3	1700	0
12	Mr.x15	6	buy	10	s4	1500	0
13	Mr.x16	6	buy	10	s5	1100	0
14	Mr.x17	6	buy	10	s6	1500	0
14	Mr.x18	6	buy	10	s7	1100	0
14	Mr.x19	6	buy	10	s8	1500	0
14	Mr.x20	6	buy	10	s9	1100	0
